id;title;listtitle;longtitle;altimage;popular;phoneCallToActionTitle;seo_title;seo_h1;seo_description;layout;typePost;section;folder;sort;breadcrumbs;alias;banner;thumbnail;content
1;Исследование cайтов конкурентов в Рунете;Исследование cайтов конкурентов в Рунете;Исследование cайтов конкурентов в Рунете;Исследование cайтов конкурентов в Рунете;false;;Исследование cайтов конкурентов в Рунете;Исследование cайтов конкурентов в Рунете;Исследование cайтов конкурентов в Рунете;service;marketing;;services/marketing;100;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Маркетинг"", ""url"": ""/services/marketing/""}]";issledovanie-caitov-konkurentov-v-runete;;;
2;Составление медиапланов рекламных кампаний в Рунете;Составление медиапланов рекламных кампаний в Рунете;Составление медиапланов рекламных кампаний в Рунете;Составление медиапланов рекламных кампаний в Рунете;false;;Составление медиапланов рекламных кампаний в Рунете;Составление медиапланов рекламных кампаний в Рунете;Составление медиапланов рекламных кампаний в Рунете;service;marketing;;services/marketing;200;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Маркетинг"", ""url"": ""/services/marketing/""}]";sostavlenie-mediaplanov-reclamnykh-kampanii-v-runete;;;
3;Идентификация всех конкурентов;Идентификация всех конкурентов;Идентификация всех конкурентов;Идентификация всех конкурентов;false;;Идентификация всех конкурентов;Идентификация всех конкурентов;Идентификация всех конкурентов;service;marketing;;services/marketing;300;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Маркетинг"", ""url"": ""/services/marketing/""}]";identifikatciia-vsekh-konkurentov;;;
4;Получение объемов импорта конкурентов (доп.);Получение объемов импорта конкурентов (доп.);Получение объемов импорта конкурентов (доп.);Получение объемов импорта конкурентов (доп.);false;;Получение объемов импорта конкурентов (доп.);Получение объемов импорта конкурентов (доп.);Получение объемов импорта конкурентов (доп.);service;marketing;;services/marketing;400;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Маркетинг"", ""url"": ""/services/marketing/""}]";poluchenie-obemov-importa-konkurentov-dop;;;
5;Анализ объемов рынка;Анализ объемов рынка;Анализ объемов рынка;Анализ объемов рынка;false;;Анализ объемов рынка;Анализ объемов рынка;Анализ объемов рынка;service;marketing;;services/marketing;500;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Маркетинг"", ""url"": ""/services/marketing/""}]";analiz-obemov-rynka;;;
6;Подсчет потенциально возможной доли рынка;Подсчет потенциально возможной доли рынка;Подсчет потенциально возможной доли рынка;Подсчет потенциально возможной доли рынка;false;;Подсчет потенциально возможной доли рынка;Подсчет потенциально возможной доли рынка;Подсчет потенциально возможной доли рынка;service;marketing;;services/marketing;600;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Маркетинг"", ""url"": ""/services/marketing/""}]";podschet-potentcialno-vozmozhnoi-doli-rynka;;;
7;Подбор оптимальных регионов для продукции;Подбор оптимальных регионов для продукции;Подбор оптимальных регионов для продукции;Подбор оптимальных регионов для продукции;false;;Подбор оптимальных регионов для продукции;Подбор оптимальных регионов для продукции;Подбор оптимальных регионов для продукции;service;marketing;;services/marketing;700;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Маркетинг"", ""url"": ""/services/marketing/""}]";podbor-optimalnykh-regionov-dlia-produktcii;;;
8;Подбор целевых выставочных мероприятий;Подбор целевых выставочных мероприятий;Подбор целевых выставочных мероприятий;Подбор целевых выставочных мероприятий;false;;Подбор целевых выставочных мероприятий;Подбор целевых выставочных мероприятий;Подбор целевых выставочных мероприятий;service;events;;services/events;100;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Мероприятия"", ""url"": ""/services/events/""}]";podbor-tcelevykh-vystavochnykh-meropriiatii;;;
9;Организация выставок;Организация выставок;Организация выставок;Организация выставок;false;;Организация выставок;Организация выставок;Организация выставок;service;events;;services/events;200;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Мероприятия"", ""url"": ""/services/events/""}]";organizatciia-vystavok;;;
10;Подбор мероприятий для спонсорских вложений;Подбор мероприятий для спонсорских вложений;Подбор мероприятий для спонсорских вложений;Подбор мероприятий для спонсорских вложений;false;;Подбор мероприятий для спонсорских вложений;Подбор мероприятий для спонсорских вложений;Подбор мероприятий для спонсорских вложений;service;events;;services/events;300;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Мероприятия"", ""url"": ""/services/events/""}]";podbor-meropriiatii-dlia-sponsorskikh-vlozhenii;;;
11;Переводы документации;Переводы документации;Переводы документации;Переводы документации;false;;Переводы документации;Переводы документации;Переводы документации;service;translations;;services/translations;100;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Переводы"", ""url"": ""/services/translations/""}]";perevody-dokumentatcii;;;
12;Переводы рекламных материалов;Переводы рекламных материалов;Переводы рекламных материалов;Переводы рекламных материалов;false;;Переводы рекламных материалов;Переводы рекламных материалов;Переводы рекламных материалов;service;translations;;services/translations;200;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Переводы"", ""url"": ""/services/translations/""}]";perevody-reclamnykh-materialov;;;
13;Переводы видеоматериалов;Переводы видеоматериалов;Переводы видеоматериалов;Переводы видеоматериалов;false;;Переводы видеоматериалов;Переводы видеоматериалов;Переводы видеоматериалов;service;translations;;services/translations;300;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Переводы"", ""url"": ""/services/translations/""}]";perevody-videomaterialov;;;
14;Адаптация рекламных материалов под Россию;Адаптация рекламных материалов под Россию;Адаптация рекламных материалов под Россию;Адаптация рекламных материалов под Россию;false;;Адаптация рекламных материалов под Россию;Адаптация рекламных материалов под Россию;Адаптация рекламных материалов под Россию;service;translations;;services/translations;400;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Переводы"", ""url"": ""/services/translations/""}]";adaptatciia-reclamnykh-materialov-pod-rossiiu;;;
15;Создание сайта презентации продукции;Создание сайта презентации продукции;Создание сайта презентации продукции;Создание сайта презентации продукции;false;;Создание сайта презентации продукции;Создание сайта презентации продукции;Создание сайта презентации продукции;service;websites;;services/websites;100;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Сайты"", ""url"": ""/services/websites/""}]";sozdanie-saita-prezentatcii-produktcii;;;
16;Создание сайта для маркетингового исследования;Создание сайта для маркетингового исследования;Создание сайта для маркетингового исследования;Создание сайта для маркетингового исследования;false;;Создание сайта для маркетингового исследования;Создание сайта для маркетингового исследования;Создание сайта для маркетингового исследования;service;websites;;services/websites;200;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Сайты"", ""url"": ""/services/websites/""}]";sozdanie-saita-dlia-marketingovogo-issledovaniia;;;
17;Создание интернет магазина;Создание интернет магазина;Создание интернет магазина;Создание интернет магазина;false;;Создание интернет магазина;Создание интернет магазина;Создание интернет магазина;service;websites;;services/websites;300;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Сайты"", ""url"": ""/services/websites/""}]";sozdanie-internet-magazina;;;
18;Составление списка потенциальных живых партнеров;Составление списка потенциальных живых партнеров;Составление списка потенциальных живых партнеров;Составление списка потенциальных живых партнеров;false;;Составление списка потенциальных живых партнеров;Составление списка потенциальных живых партнеров;Составление списка потенциальных живых партнеров;service;partner-search;;services/partner-search;100;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Поиск партнеров"", ""url"": ""/services/partner-search/""}]";sostavlenie-spiska-potentcialnykh-zhivykh-partnerov;;;
19;Согласование возможных взаимоотношений по требованию заказчика;Согласование возможных взаимоотношений по требованию заказчика;Согласование возможных взаимоотношений по требованию заказчика;Согласование возможных взаимоотношений по требованию заказчика;false;;Согласование возможных взаимоотношений по требованию заказчика;Согласование возможных взаимоотношений по требованию заказчика;Согласование возможных взаимоотношений по требованию заказчика;service;partner-search;;services/partner-search;200;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Поиск партнеров"", ""url"": ""/services/partner-search/""}]";soglasovanie-vozmozhnykh-vzaimootnoshenii-po-trebovaniiu-zakazchika;;;
20;Помощь в организации и проведении совместных встреч;Помощь в организации и проведении совместных встреч;Помощь в организации и проведении совместных встреч;Помощь в организации и проведении совместных встреч;false;;Помощь в организации и проведении совместных встреч;Помощь в организации и проведении совместных встреч;Помощь в организации и проведении совместных встреч;service;partner-search;;services/partner-search;300;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Поиск партнеров"", ""url"": ""/services/partner-search/""}]";pomoshch-v-organizatcii-i-provedenii-sovmestnykh-vstrech;;;
21;Помощь в открытии представительства на территории РФ;Помощь в открытии представительства на территории РФ;Помощь в открытии представительства на территории РФ;Помощь в открытии представительства на территории РФ;false;;Помощь в открытии представительства на территории РФ;Помощь в открытии представительства на территории РФ;Помощь в открытии представительства на территории РФ;service;partner-search;;services/partner-search;400;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Поиск партнеров"", ""url"": ""/services/partner-search/""}]";pomoshch-v-otkrytii-predstavitelstva-na-territorii-rf;;;
22;Юридическое сопровождение представительства в России;Юридическое сопровождение представительства в России;Юридическое сопровождение представительства в России;Юридическое сопровождение представительства в России;false;;Юридическое сопровождение представительства в России;Юридическое сопровождение представительства в России;Юридическое сопровождение представительства в России;service;partner-search;;services/partner-search;500;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Поиск партнеров"", ""url"": ""/services/partner-search/""}]";iuridicheskoe-soprovozhdenie-predstavitelstva-v-rossii;;;
23;Комплексное юридическое сопровождение бизнеса;Комплексное юридическое сопровождение бизнеса;Комплексное юридическое сопровождение бизнеса;Комплексное юридическое сопровождение бизнеса;false;;Комплексное юридическое сопровождение бизнеса;Комплексное юридическое сопровождение бизнеса;Комплексное юридическое сопровождение бизнеса;service;legal-accounting-hr;;services/legal-accounting-hr;100;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Юридические и бухгалтерские услуги, подбор персонала"", ""url"": ""/services/legal-accounting-hr/""}]";kompleksnoe-iuridicheskoe-soprovozhdenie-biznesa;;;
24;Бухгалтерское сопровождение;Бухгалтерское сопровождение;Бухгалтерское сопровождение;Бухгалтерское сопровождение;false;;Бухгалтерское сопровождение;Бухгалтерское сопровождение;Бухгалтерское сопровождение;service;legal-accounting-hr;;services/legal-accounting-hr;200;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Юридические и бухгалтерские услуги, подбор персонала"", ""url"": ""/services/legal-accounting-hr/""}]";bukhgalterskoe-soprovozhdenie;;;
25;Налоговая практика;Налоговая практика;Налоговая практика;Налоговая практика;false;;Налоговая практика;Налоговая практика;Налоговая практика;service;legal-accounting-hr;;services/legal-accounting-hr;300;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Юридические и бухгалтерские услуги, подбор персонала"", ""url"": ""/services/legal-accounting-hr/""}]";nalogovaia-praktika;;;
26;Защита интеллектуальной собственности;Защита интеллектуальной собственности;Защита интеллектуальной собственности;Защита интеллектуальной собственности;false;;Защита интеллектуальной собственности;Защита интеллектуальной собственности;Защита интеллектуальной собственности;service;legal-accounting-hr;;services/legal-accounting-hr;400;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Юридические и бухгалтерские услуги, подбор персонала"", ""url"": ""/services/legal-accounting-hr/""}]";zashchita-intellektualnoi-sobstvennosti;;;
27;Корпоративная практика, слияния и поглощения;Корпоративная практика, слияния и поглощения;Корпоративная практика, слияния и поглощения;Корпоративная практика, слияния и поглощения;false;;Корпоративная практика, слияния и поглощения;Корпоративная практика, слияния и поглощения;Корпоративная практика, слияния и поглощения;service;legal-accounting-hr;;services/legal-accounting-hr;500;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Юридические и бухгалтерские услуги, подбор персонала"", ""url"": ""/services/legal-accounting-hr/""}]";korporativnaia-praktika,-sliianiia-i-pogloshcheniia;;;
28;Сопровождение инфраструктурных проектов и сделок с недвижимостью;Сопровождение инфраструктурных проектов и сделок с недвижимостью;Сопровождение инфраструктурных проектов и сделок с недвижимостью;Сопровождение инфраструктурных проектов и сделок с недвижимостью;false;;Сопровождение инфраструктурных проектов и сделок с недвижимостью;Сопровождение инфраструктурных проектов и сделок с недвижимостью;Сопровождение инфраструктурных проектов и сделок с недвижимостью;service;legal-accounting-hr;;services/legal-accounting-hr;600;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Юридические и бухгалтерские услуги, подбор персонала"", ""url"": ""/services/legal-accounting-hr/""}]";soprovozhdenie-infrastrukturnykh-proektov-i-sdelok-s-nedvizhimostiu;;;
29;Внешнеэкономическая деятельность;Внешнеэкономическая деятельность;Внешнеэкономическая деятельность;Внешнеэкономическая деятельность;false;;Внешнеэкономическая деятельность;Внешнеэкономическая деятельность;Внешнеэкономическая деятельность;service;legal-accounting-hr;;services/legal-accounting-hr;700;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Юридические и бухгалтерские услуги, подбор персонала"", ""url"": ""/services/legal-accounting-hr/""}]";vneshneekonomicheskaia-deiatelnost;;;
30;Разрешение споров;Разрешение споров;Разрешение споров;Разрешение споров;false;;Разрешение споров;Разрешение споров;Разрешение споров;service;legal-accounting-hr;;services/legal-accounting-hr;800;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Юридические и бухгалтерские услуги, подбор персонала"", ""url"": ""/services/legal-accounting-hr/""}]";razreshenie-sporov;;;
31;Управление репутацией;Управление репутацией;Управление репутацией;Управление репутацией;false;;Управление репутацией;Управление репутацией;Управление репутацией;service;legal-accounting-hr;;services/legal-accounting-hr;900;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Юридические и бухгалтерские услуги, подбор персонала"", ""url"": ""/services/legal-accounting-hr/""}]";upravlenie-reputatciei;;;
32;Подбор сотрудников;Подбор сотрудников;Подбор сотрудников;Подбор сотрудников;false;;Подбор сотрудников;Подбор сотрудников;Подбор сотрудников;service;legal-accounting-hr;;services/legal-accounting-hr;1000;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Юридические и бухгалтерские услуги, подбор персонала"", ""url"": ""/services/legal-accounting-hr/""}]";podbor-sotrudnikov;;;
